playerId,our_xG_per_game,our_xA_per_game,name,games_played,actual_goals_per_game,actual_assists_per_game,xG_to_goals_ratio,xA_to_assists_ratio
8470613,0.0991114053815121,0.0,Brent Burns,24.0,0.08333333333333333,0.375,1.1893368645781452,0.0
8470621,0.40042636500995427,0.0,Corey Perry,18.0,0.3888888888888889,0.3333333333333333,1.0296677957398823,0.0
8471214,0.3274704332153,0.0,Alex Ovechkin,25.0,0.44,0.48,0.7442509845802273,0.0
8471215,0.3406215762235939,0.0,Evgeni Malkin,23.0,0.2608695652173913,0.782608695652174,1.3057160421904432,0.0
8471675,0.36585517678343277,0.0,Sidney Crosby,23.0,0.6521739130434783,0.43478260869565216,0.5609779377345969,0.0
8471685,0.2723904178508192,0.0,Anze Kopitar,20.0,0.2,0.4,1.361952089254096,0.0
8471724,0.11723202077188966,0.0,Kris Letang,23.0,0.08695652173913043,0.34782608695652173,1.348168238876731,0.0
8471817,0.18097252249052476,0.0,Ryan Reaves,21.0,0.09523809523809523,0.0,1.90021148615051,0.0
8473419,0.4094955000909974,0.0,Brad Marchand,23.0,0.6521739130434783,0.5217391304347826,0.6278931001395294,0.0
8473422,0.16161325667053453,0.0,Nick Foligno,15.0,0.0,0.4,0.16161325667053453,0.0
8473507,0.03887966333422802,0.0,Jeff Petry,24.0,0.0,0.20833333333333334,0.03887966333422802,0.0
8473512,0.20237629010807712,0.0,Claude Giroux,24.0,0.16666666666666666,0.5,1.2142577406484627,0.0
8473533,0.2795732157149662,0.0,Jordan Staal,21.0,0.3333333333333333,0.09523809523809523,0.8387196471448986,0.0
8473604,0.29855868950486175,0.0,Jonathan Toews,23.0,0.13043478260869565,0.21739130434782608,2.288949952870607,0.0
8473986,0.19368197362249084,0.0,Alex Killorn,24.0,0.041666666666666664,0.2916666666666667,4.64836736693978,0.0
8473994,0.32497092625126234,0.0,Jamie Benn,6.0,0.3333333333333333,0.5,0.974912778753787,0.0
8474013,0.06608935181672367,0.0,Ian Cole,25.0,0.04,0.32,1.6522337954180917,0.0
8474037,0.40273075676320674,0.0,James van Riemsdyk,20.0,0.15,0.05,2.684871711754712,0.0
8474090,0.03487436007708303,0.0,Brendan Smith,2.0,0.0,0.5,0.03487436007708303,0.0
8474102,0.15962225924401224,0.0,David Perron,24.0,0.125,0.3333333333333333,1.276978073952098,0.0
8474141,0.31190481981528634,0.0,Patrick Kane,16.0,0.1875,0.625,1.6634923723481938,0.0
8474149,0.11185754947364321,0.0,Evgenii Dadonov,5.0,0.0,0.0,0.11185754947364321,0.0
8474150,0.16996213409584002,0.0,Mikael Backlund,26.0,0.15384615384615385,0.38461538461538464,1.1047538716229601,0.0
8474151,0.06304215209092935,0.0,Ryan McDonagh,15.0,0.2,0.2,0.31521076045464674,0.0
8474189,0.20425545470789067,0.0,Lars Eller,24.0,0.08333333333333333,0.16666666666666666,2.451065456494688,0.0
8474563,0.05081164101138701,0.0,Drew Doughty,19.0,0.10526315789473684,0.3157894736842105,0.4827105896081766,0.0
8474564,0.28607287233823836,0.0,Steven Stamkos,24.0,0.25,0.125,1.1442914893529534,0.0
8474567,0.04632598314095619,0.0,Zach Bogosian,9.0,0.0,0.0,0.04632598314095619,0.0
8474568,0.04466338449024719,0.0,Luke Schenn,16.0,0.0,0.125,0.04466338449024719,0.0
8474574,0.0719032605627068,0.0,Tyler Myers,25.0,0.04,0.2,1.7975815140676699,0.0
8474578,0.1408502729954541,0.0,Erik Karlsson,23.0,0.043478260869565216,0.6086956521739131,3.2395562788954444,0.0
8474586,0.3926179725504306,0.0,Jordan Eberle,23.0,0.34782608695652173,0.2608695652173913,1.128776671082488,0.0
8474590,0.18421395552846087,0.0,John Carlson,24.0,0.25,0.6666666666666666,0.7368558221138435,0.0
8474600,0.13684075720169953,0.0,Roman Josi,12.0,0.16666666666666666,0.4166666666666667,0.8210445432101972,0.0
8474612,0.06380964268464588,0.0,Travis Hamonic,15.0,0.0,0.06666666666666667,0.06380964268464588,0.0
8474641,0.22563599912380716,0.0,Adam Henrique,25.0,0.08,0.2,2.8204499890475896,0.0
8474679,0.15232056472450486,0.0,Gustav Nyquist,18.0,0.0,0.3333333333333333,0.15232056472450486,0.0
8474716,0.11024608107982194,0.0,Jared Spurgeon,25.0,0.04,0.12,2.756152026995548,0.0
8475149,0.25455667129538656,0.0,Marcus Johansson,25.0,0.32,0.48,0.795489597798083,0.0
